case_name,base_cycle,target_cycle,method,mean_normalized_error_percent,ratcheting_normalized_error_percent,peak_normalized_error_percent,strict_1pct_accept,relaxed_2pct_accept,relaxed_5pct_accept,drift_direction_ok,finite
B1_stress_m150_to_250,20,100,linear_last_20,236.7260562583391,236.7260562583388,378.30053003252215,False,False,False,True,True
B1_stress_m150_to_250,20,100,linear_last_5,40.68292976841989,40.68292976842005,74.07572056068405,False,False,False,True,True
B1_stress_m150_to_250,20,500,least_squares_last_100,1046.4435117222656,1046.443511722282,1763.4501285925487,False,False,False,True,True
B1_stress_m150_to_250,20,500,least_squares_last_20,1046.4435117222656,1046.443511722282,1763.4501285925487,False,False,False,True,True
B1_stress_m150_to_250,20,500,least_squares_last_50,1046.4435117222656,1046.443511722282,1763.4501285925487,False,False,False,True,True
B1_stress_m150_to_250,20,500,linear_last_10,457.1928172153836,457.1928172153837,794.9932904071571,False,False,False,True,True
B1_stress_m150_to_250,20,500,linear_last_2,385.47234367186695,385.4723436718668,634.1540091788048,False,False,False,True,True
B1_stress_m150_to_250,20,500,linear_last_20,1660.6619881642332,1660.6619881642316,2628.078116737478,False,False,False,True,True
B1_stress_m150_to_250,20,500,linear_last_5,408.5082108801418,408.50821088014334,684.9534015576102,False,False,False,True,True
B1_stress_m150_to_250,20,1000,least_squares_last_100,2183.8498914487327,2183.849891448769,3665.39789396242,False,False,False,True,True
B1_stress_m150_to_250,20,1000,least_squares_last_20,2183.8498914487327,2183.849891448769,3665.39789396242,False,False,False,True,True
B1_stress_m150_to_250,20,1000,least_squares_last_50,2183.8498914487327,2183.849891448769,3665.39789396242,False,False,False,True,True
B1_stress_m150_to_250,20,1000,linear_last_10,980.402697816249,980.4026978162516,1687.484800378808,False,False,False,True,True
B1_stress_m150_to_250,20,1000,linear_last_2,833.9254795175601,833.925479517563,1358.9971406703876,False,False,False,True,True
B1_stress_m150_to_250,20,1000,linear_last_20,3438.28965476525,3438.289654765251,5431.257714865801,False,False,False,True,True
B1_stress_m150_to_250,20,1000,linear_last_5,880.9724325430269,880.9724325430332,1462.7465070545368,False,False,False,True,True
B1_stress_m150_to_250,20,5000,least_squares_last_100,11281.468264843112,11281.468264843284,18877.614563667405,False,False,False,True,True
B1_stress_m150_to_250,20,5000,least_squares_last_20,11281.468264843112,11281.468264843284,18877.614563667405,False,False,False,True,True
B1_stress_m150_to_250,20,5000,least_squares_last_50,11281.468264843112,11281.468264843284,18877.614563667405,False,False,False,True,True
B1_stress_m150_to_250,20,5000,linear_last_10,5165.980846817242,5165.980846817243,8826.568949236294,False,False,False,True,True
B1_stress_m150_to_250,20,5000,linear_last_2,4421.636109239485,4421.636109239486,7157.31236651906,False,False,False,True,True
B1_stress_m150_to_250,20,5000,linear_last_20,17656.081650311095,17656.081650311084,27851.08142941004,False,False,False,True,True
B1_stress_m150_to_250,20,5000,linear_last_5,4660.711866618799,4660.711866618816,7684.529470939995,False,False,False,True,True
B1_stress_m150_to_250,20,10000,least_squares_last_100,22655.037543141447,22655.0375431418,37894.45698933369,False,False,False,True,True
B1_stress_m150_to_250,20,10000,least_squares_last_20,22655.037543141447,22655.0375431418,37894.45698933369,False,False,False,True,True
B1_stress_m150_to_250,20,10000,least_squares_last_50,22655.037543141447,22655.0375431418,37894.45698933369,False,False,False,True,True
B1_stress_m150_to_250,20,10000,linear_last_10,10399.479557409011,10399.479557409011,17751.96238100269,False,False,False,True,True
B1_stress_m150_to_250,20,10000,linear_last_2,8907.79795148008,8907.79795148008,14406.739107015386,False,False,False,True,True
B1_stress_m150_to_250,20,10000,linear_last_20,35429.889103125235,35429.889103125206,55877.46242925958,False,False,False,True,True
