case_name,base_cycle,target_cycle,method,variable,effective_window,slope,base_value,predicted_value,reference_value,strain_range_reference,absolute_error,relative_error_percent,normalized_error_percent,drift_direction_ok,finite,status
B2_stress_0_to_300,10,1000,least_squares_last_50,strain_mean,10,0.0009922839688760558,0.0400838797265175,1.0224450089138126,0.0652725468771909,0.001591675397433,0.9571724620366218,1466.4242592487224,60136.15989669231,True,True,ok
B2_stress_0_to_300,10,1000,least_squares_last_50,ratcheting_strain,10,0.0009922839688760632,0.0094053626244844,0.991766491811787,0.0345940297751578,0.001591675397433,0.9571724620366292,2766.871822270273,60136.159896692785,True,True,ok
B2_stress_0_to_300,10,1000,least_squares_last_50,strain_max,10,0.0009048924899374057,0.0414569213557046,0.9373004863937362,0.0660683845759074,0.001591675397433,0.8712321018178288,1318.682312894833,54736.79515452223,True,True,ok
B2_stress_0_to_300,10,1000,least_squares_last_50,strain_min,10,0.0010796754478147141,0.0387108380973305,1.1075895314338975,0.0644767091784744,0.001591675397433,1.0431128222554231,1617.8133709771703,65535.52463886293,True,True,ok
B2_stress_0_to_300,10,1000,least_squares_last_50,strain_range,10,-0.00017478295787730602,0.002746083258374,-0.17028904504015896,0.001591675397433,0.001591675397433,0.17188072043759195,10798.729484340547,10798.729484340547,True,True,ok
B2_stress_0_to_300,10,1000,least_squares_last_50,hysteresis_area,10,-0.047807559293310466,0.3317001430693586,-46.997783557308004,0.0481219499027654,0.001591675397433,47.04590550721077,97763.92187405359,2955747.4836317007,True,True,ok
B2_stress_0_to_300,10,1000,least_squares_last_100,strain_mean,10,0.0009922839688760558,0.0400838797265175,1.0224450089138126,0.0652725468771909,0.001591675397433,0.9571724620366218,1466.4242592487224,60136.15989669231,True,True,ok
B2_stress_0_to_300,10,1000,least_squares_last_100,ratcheting_strain,10,0.0009922839688760632,0.0094053626244844,0.991766491811787,0.0345940297751578,0.001591675397433,0.9571724620366292,2766.871822270273,60136.159896692785,True,True,ok
B2_stress_0_to_300,10,1000,least_squares_last_100,strain_max,10,0.0009048924899374057,0.0414569213557046,0.9373004863937362,0.0660683845759074,0.001591675397433,0.8712321018178288,1318.682312894833,54736.79515452223,True,True,ok
B2_stress_0_to_300,10,1000,least_squares_last_100,strain_min,10,0.0010796754478147141,0.0387108380973305,1.1075895314338975,0.0644767091784744,0.001591675397433,1.0431128222554231,1617.8133709771703,65535.52463886293,True,True,ok
B2_stress_0_to_300,10,1000,least_squares_last_100,strain_range,10,-0.00017478295787730602,0.002746083258374,-0.17028904504015896,0.001591675397433,0.001591675397433,0.17188072043759195,10798.729484340547,10798.729484340547,True,True,ok
B2_stress_0_to_300,10,1000,least_squares_last_100,hysteresis_area,10,-0.047807559293310466,0.3317001430693586,-46.997783557308004,0.0481219499027654,0.001591675397433,47.04590550721077,97763.92187405359,2955747.4836317007,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_2,strain_mean,2,0.0005639299103544007,0.0400838797265175,2.854094132394977,0.078256335052721,0.0015200358307391,2.7758377973422563,3547.1093751990616,182616.602925244,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_2,ratcheting_strain,2,0.0005639299103544007,0.0094053626244844,2.823415615292944,0.0475778179506879,0.0015200358307391,2.775837797342256,5834.3108551537125,182616.60292524396,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_2,strain_max,2,0.0005385610951392991,0.0414569213557046,2.728876786100807,0.0790163529680906,0.0015200358307391,2.6498604331327167,3353.559527358618,174328.8138046228,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_2,strain_min,2,0.0005892987255695994,0.0387108380973305,2.979311478689632,0.0774963171373515,0.0015200358307391,2.9018151615522805,3744.4555673648524,190904.3920458971,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_2,strain_range,2,-5.0737630430400076e-05,0.002746083258374,-0.2504346925893224,0.0015200358307391,0.0015200358307391,0.2519547284200615,16575.578241307074,16575.578241307074,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_2,hysteresis_area,2,-0.01334867092163955,0.3317001430693586,-66.278167755912,0.0276601583960276,0.0015200358307391,66.30582791430803,239716.0094492825,4362122.692993861,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_5,strain_mean,5,0.0006640237898665746,0.0400838797265175,3.353562591160725,0.078256335052721,0.0015200358307391,3.2753062561080037,4185.356053157156,215475.5953690528,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_5,ratcheting_strain,5,0.0006640237898665751,0.0094053626244844,3.322884074058694,0.0475778179506879,0.0015200358307391,3.275306256108006,6884.103553262367,215475.59536905296,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_5,strain_max,5,0.0006302231913131,0.0414569213557046,3.1862706460080736,0.0790163529680906,0.0015200358307391,3.107254293039983,3932.419273127924,204419.80578373055,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_5,strain_min,5,0.0006978243884200753,0.0387108380973305,3.5208545363135064,0.0774963171373515,0.0015200358307391,3.443358219176155,4443.2540104754635,226531.38495438368,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_5,strain_range,5,-6.760119710697498e-05,0.002746083258374,-0.3345838903054312,0.0015200358307391,0.0015200358307391,0.3361039261361703,22111.579170653076,22111.579170653076,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_5,hysteresis_area,5,-0.017993350151945336,0.3317001430693586,-89.45511711513788,0.0276601583960276,0.0015200358307391,89.48277727353391,323507.82664492965,5886886.049917912,True,True,ok
