Time_s,Cycle_Number,Phase_In_Cycle,U1_mm,EngStrain,RF1_N,Avg_S11_MPa,Avg_SDV1_p,Avg_SDV15_dp
0.5302578211,0.5302578211,0.5302578211,-0.006051562726,-0.0006051562726,-1804.140381,-451.0350952,0.002273607999,0.0002426809078
0.550257802,0.550257802,0.550257802,-0.01005156245,-0.001005156245,-1952.11377,-488.0284424,0.002496807836,0.0002231999097
0.5702577829,0.5702577829,0.5702577829,-0.01405156218,-0.001405156218,-2081.710205,-520.4275513,0.002743309364,0.0002465014113
0.5902578235,0.5902578235,0.5902578235,-0.01805156283,-0.001805156283,-2198.168457,-549.5421143,0.003004692495,0.0002613833058
0.6102578044,0.6102578044,0.6102578044,-0.02205156162,-0.002205156162,-2301.148193,-575.2870483,0.003282053629,0.0002773609885
0.6302577853,0.6302577853,0.6302577853,-0.02605156228,-0.002605156228,-2391.126953,-597.7817383,0.003574916162,0.0002928625036
0.6502578259,0.6502578259,0.6502578259,-0.03005156294,-0.003005156294,-2468.622559,-617.1556396,0.003882646328,0.0003077301953
0.6702578068,0.6702578068,0.6702578068,-0.03405156359,-0.003405156359,-2534.404297,-633.6010742,0.004204314668,0.0003216683108
0.6902577877,0.6902577877,0.6902577877,-0.03805156425,-0.003805156425,-2589.457275,-647.3643188,0.004538747948,0.000334433571
0.7102578282,0.7102578282,0.7102578282,-0.04205156118,-0.004205156118,-2634.909424,-658.727356,0.004884607159,0.0003458590363
0.7302578092,0.7302578092,0.7302578092,-0.04605156183,-0.004605156183,-2671.958496,-667.989624,0.005240467843,0.0003558609169
0.7502577901,0.7502577901,0.7502577901,-0.049948439,-0.0049948439,-2698.999756,-674.749939,0.005597596522,0.000357128476
0.7702578306,0.7702578306,0.7702578306,-0.04594843835,-0.004594843835,-2363.113525,-590.7783813,0.005597596522,0
0.7902578115,0.7902578115,0.7902578115,-0.04194843769,-0.004194843769,-2027.113525,-506.7783813,0.005597596522,0
0.8102577925,0.8102577925,0.8102577925,-0.03794843704,-0.003794843704,-1691.113525,-422.7783813,0.005597596522,0
0.830257833,0.830257833,0.830257833,-0.03394843638,-0.003394843638,-1355.113525,-338.7783813,0.005597596522,0
0.8502578139,0.8502578139,0.8502578139,-0.02994843759,-0.002994843759,-1019.113525,-254.7783813,0.005597596522,0
0.8702577949,0.8702577949,0.8702577949,-0.02594843693,-0.002594843693,-683.1135254,-170.7783813,0.005597596522,0
0.8902578354,0.8902578354,0.8902578354,-0.02194843814,-0.002194843814,-347.1135559,-86.77838898,0.005597596522,0
0.9102578163,0.9102578163,0.9102578163,-0.01794843748,-0.001794843748,-11.11355114,-2.778387785,0.005597596522,0
0.9302577972,0.9302577972,0.9302577972,-0.01394843776,-0.001394843776,324.8864441,81.22161102,0.005597596522,0
0.9502578378,0.9502578378,0.9502578378,-0.009948437102,-0.0009948437102,660.8864746,165.2216187,0.005597596522,0
0.9702578187,0.9702578187,0.9702578187,-0.005948437378,-0.0005948437378,996.8864746,249.2216187,0.005597596522,0
0.9902577996,0.9902577996,0.9902577996,-0.001948437537,-0.0001948437537,1332.886475,333.2216187,0.005597596522,0
1.01025784,1.01025784,0.01025784016,0.002051562537,0.0002051562537,1586.212036,396.553009,0.005696224514,9.862786828e-05
1.030257821,1.030257821,0.03025782108,0.006051562726,0.0006051562726,1715.808472,428.9521179,0.005942048039,0.0002458236413
1.050257802,1.050257802,0.05025780201,0.01005156245,0.001005156245,1875.24939,468.8123474,0.006151854992,0.0002098068799
1.070257783,1.070257783,0.07025778294,0.01405156218,0.001405156218,2010.891846,502.7229614,0.006391023286,0.0002391682792
1.090257764,1.090257764,0.09025776386,0.01805156283,0.001805156283,2134.775879,533.6939697,0.006643354427,0.0002523312869
1.110257864,1.110257864,0.110257864,0.02205156162,0.002205156162,2245.197754,561.2994385,0.006911870092,0.000268515636
1.130257845,1.130257845,0.1302578449,0.02605156228,0.002605156228,2342.453613,585.6134033,0.007196091115,0.0002842207614
1.150257826,1.150257826,0.1502578259,0.03005156294,0.003005156294,2426.872559,606.7181396,0.007495586295,0.0002994952665
1.170257807,1.170257807,0.1702578068,0.03405156359,0.003405156359,2499.10376,624.7759399,0.007809579372,0.0003139930195
1.190257788,1.190257788,0.1902577877,0.03805156425,0.003805156425,2560.032471,640.0081177,0.008137020282,0.0003274409682
1.210257769,1.210257769,0.2102577686,0.04205156118,0.004205156118,2610.717041,652.6792603,0.008476652205,0.0003396319808
1.230257869,1.230257869,0.2302578688,0.04605156183,0.004605156183,2652.323242,663.0808105,0.008827088401,0.0003504364577
1.25025785,1.25025785,0.2502578497,0.049948439,0.0049948439,2683.231445,670.8078613,0.009179596789,0.0003525081265
1.270257831,1.270257831,0.2702578306,0.04594843835,0.004594843835,2347.34375,586.8359375,0.009179596789,0
1.290257812,1.290257812,0.2902578115,0.04194843769,0.004194843769,2011.34375,502.8359375,0.009179596789,0
1.310257792,1.310257792,0.3102577925,0.03794843704,0.003794843704,1675.34375,418.8359375,0.009179596789,0
1.330257773,1.330257773,0.3302577734,0.03394843638,0.003394843638,1339.34375,334.8359375,0.009179596789,0
1.350257754,1.350257754,0.3502577543,0.02994843759,0.002994843759,1003.34375,250.8359375,0.009179596789,0
1.370257854,1.370257854,0.3702578545,0.02594843693,0.002594843693,667.34375,166.8359375,0.009179596789,0
1.390257835,1.390257835,0.3902578354,0.02194843814,0.002194843814,331.3437805,82.83594513,0.009179596789,0
1.410257816,1.410257816,0.4102578163,0.01794843748,0.001794843748,-4.65622139,-1.164055347,0.009179596789,0
1.430257797,1.430257797,0.4302577972,0.01394843776,0.001394843776,-340.6562195,-85.16405487,0.009179596789,0
1.450257778,1.450257778,0.4502577782,0.009948437102,0.0009948437102,-676.65625,-169.1640625,0.009179596789,0
1.470257759,1.470257759,0.4702577591,0.005948437378,0.0005948437378,-1012.65625,-253.1640625,0.009179596789,0
1.490257859,1.490257859,0.4902578592,0.001948437537,0.0001948437537,-1348.65625,-337.1640625,0.009179596789,0
1.51025784,1.51025784,0.5102578402,-0.002051562537,-0.0002051562537,-1598.984131,-399.7460327,0.00928180106,0.0001022040451
1.530257821,1.530257821,0.5302578211,-0.006051562726,-0.0006051562726,-1729.102295,-432.2755737,0.00952698756,0.000245186442
1.550257802,1.550257802,0.550257802,-0.01005156245,-0.001005156245,-1886.851929,-471.7129822,0.009738821536,0.0002118341945
