cycle,points,U1_max,U1_min,RF1_max,RF1_min,RF1_mean,loop_area_abs
182,58,0.0977500006557,-0.0972499996424,2913.48431396,-3070.87508392,415.735945329,550.129616322
183,64,0.0977500006557,-0.0972499996424,2913.16992188,-3071.45932007,450.859938481,552.940186967
184,64,0.0953867211938,-0.0971132814884,2896.55939484,-3048.68243408,663.799685036,542.475879045
185,60,0.0969335958362,-0.0969335958362,2907.59195709,-3103.17495728,681.490470401,544.90247205
186,59,0.0982500016689,-0.0982500016689,2912.00587463,-2999.43354034,238.670262665,553.560619673
187,63,0.0995000004768,-0.0989374965429,2969.88142395,-3012.93573761,355.797986208,557.607118811
188,58,0.0977500006557,-0.0972499996424,2915.15545654,-3067.93392944,416.445114141,549.881595565
189,55,0.0977500006557,-0.0997499972582,2956.0462265,-3075.89459991,374.791477979,555.305354172
190,58,0.0957499966025,-0.0992500036955,2926.51098633,-3086.55301666,462.792052832,551.140797839
191,54,0.0960000008345,-0.0965000018477,2945.78974915,-3045.10639191,369.283587353,541.965498604
192,67,0.0952500030398,-0.0964609384537,2929.4572525,-2977.28274536,196.437584625,536.757096533
193,62,0.0962499976158,-0.0987500026822,2920.04597473,-3078.53800964,536.069808716,549.133677887
194,58,0.0975937470794,-0.0999062508345,2958.88374329,-3081.80721283,454.907697143,555.884687081
195,58,0.0974687486887,-0.0974687486887,2949.90921783,-3100.44359589,594.25248373,549.429385274
196,58,0.0997499972582,-0.0997499972582,2973.20969391,-3059.384552,210.347957085,561.761790113
197,65,0.098312497139,-0.0951875001192,2898.56214142,-3026.00539398,357.617913096,546.349480191
198,64,0.0997499972582,-0.0986874997616,2970.13761902,-3001.19480133,379.006912328,557.28684068
199,58,0.0977500006557,-0.0972499996424,2915.27432251,-3067.48232269,416.143260304,549.77928303
200,55,0.0977500006557,-0.0997499972582,2956.13891602,-3075.74504089,374.782282422,555.28888242
201,69,0.0993867218494,-0.097488284111,2922.91963959,-3017.35902405,572.308857634,552.927627123
202,70,0.0950625017285,-0.0961484387517,2921.51429749,-2979.28330231,275.865316428,534.4137539
203,62,0.0962499976158,-0.0987500026822,2919.9397049,-3078.3429718,535.512904458,549.032101773
204,58,0.0977500006557,-0.0972499996424,2914.045784,-3071.31694794,417.960380186,550.489089814
205,64,0.0977500006557,-0.0972499996424,2913.19589233,-3071.55641174,450.89742435,552.957781116
206,64,0.0953867211938,-0.0971132814884,2896.58974457,-3048.72842407,663.816459357,542.478945298
207,60,0.0969335958362,-0.0969335958362,2907.61873627,-3103.21688843,681.497438824,544.905758495
208,59,0.0982500016689,-0.0982500016689,2912.02935028,-2999.47166443,238.671269544,553.562876395
209,63,0.0995000004768,-0.0989374965429,2969.90750885,-3012.97155762,355.800347504,557.609227266
210,58,0.0977500006557,-0.0972499996424,2915.19345856,-3067.96225739,416.450143541,549.885353996
211,55,0.0977500006557,-0.0997499972582,2956.06936646,-3075.92931366,374.789642464,555.307107923
212,58,0.0957499966025,-0.0992500036955,2926.53234863,-3086.5879364,462.791942578,551.142759361
213,58,0.0972499996424,-0.0977500006557,2916.91170502,-3076.21190643,422.771852662,550.861747869
214,54,0.0992500036955,-0.0957499966025,2940.09541321,-3060.42997742,318.828723523,551.157514011
215,64,0.0953867211938,-0.0996132791042,2895.07964325,-3077.53800964,650.896145045,547.735565756
216,60,0.0969335958362,-0.0969335958362,2908.16139221,-3103.46950531,684.405469229,545.246821851
217,59,0.0982500016689,-0.0982500016689,2912.03559113,-2999.49232483,238.699196418,553.566909906
218,60,0.0995000004768,-0.096687503159,2969.92066193,-3031.85346222,258.60481843,546.70122543
219,59,0.0955937504768,-0.0994062498212,2936.28888702,-3058.53486633,502.488417688,547.17526835
220,58,0.0957499966025,-0.0992500036955,2926.62175751,-3086.23022461,462.467372877,551.059020793
221,58,0.0972499996424,-0.0977500006557,2916.97543335,-3076.08786774,422.777122617,550.845512164
222,54,0.0992500036955,-0.0957499966025,2940.13832092,-3060.38127136,318.841118693,551.152371162
223,64,0.0953867211938,-0.0996132791042,2895.08869171,-3077.5282135,650.892560225,547.734547312
224,60,0.0969335958362,-0.0969335958362,2908.16947937,-3103.46751404,684.407572414,545.248099464
225,59,0.0982500016689,-0.0982500016689,2912.04307556,-2999.49637604,238.700845233,553.566986225
226,60,0.0995000004768,-0.096687503159,2969.92790985,-3031.85889435,258.605982016,546.701393209
227,59,0.0955937504768,-0.0994062498212,2936.29548645,-3058.54148102,502.489146987,547.17557961
228,58,0.0957499966025,-0.0992500036955,2926.62747192,-3086.23721313,462.467989781,551.05939539
229,58,0.0972499996424,-0.0977500006557,2916.98872375,-3076.08879089,422.780922654,550.847016894
