cycle,frame_index,frame_time,engineering_strain,S11,STATEV1
1,51,0.8902578353881836,-0.00219484381377697,-86.77838897705078,0.005597596522420645
1,52,0.9102578163146973,-0.0017948437482118607,-2.7783877849578857,0.005597596522420645
1,53,0.9302577972412109,-0.001394843775779009,81.22161102294922,0.005597596522420645
1,54,0.9502578377723694,-0.0009948437102138997,165.22161865234375,0.005597596522420645
1,55,0.9702578186988831,-0.0005948437377810478,249.22161865234375,0.005597596522420645
1,56,0.9902577996253967,-0.00019484375370666386,333.22161865234375,0.005597596522420645
10,457,9.010257720947266,0.0002051562536507845,399.6263122558594,0.06318265944719315
10,458,9.030258178710938,0.000605156272649765,431.84686279296875,0.0634293332695961
10,459,9.050257682800293,0.0010051562450826168,471.478271484375,0.06364022940397263
10,460,9.070258140563965,0.0014051562175154686,505.2149658203125,0.06388022005558014
10,461,9.09025764465332,0.001805156283080578,535.9869384765625,0.06413350254297256
10,462,9.110258102416992,0.002205156162381172,563.3963623046875,0.06440295279026031
10,463,9.130257606506348,0.0026051562279462816,587.5177612304688,0.06468809396028519
10,464,9.15025806427002,0.0030051562935113907,608.4379272460938,0.06498846411705017
10,465,9.170257568359375,0.0034051563590764998,626.3226928710938,0.06530328094959259
10,466,9.190258026123047,0.0038051564246416093,641.3963623046875,0.06563147902488708
10,467,9.210257530212402,0.004205156117677689,653.925537109375,0.06597178429365158
10,468,9.230257987976074,0.004605156183242798,664.2028198242188,0.06632281094789505
10,469,9.25025749206543,0.004994843900203705,671.8238525390625,0.0666758269071579
10,470,9.270257949829102,0.004594843834638596,587.8519897460938,0.0666758269071579
10,471,9.290257453918457,0.0041948437690734865,503.85198974609375,0.0666758269071579
10,472,9.310257911682129,0.003794843703508377,419.85198974609375,0.0666758269071579
10,473,9.330257415771484,0.003394843637943268,335.85198974609375,0.0666758269071579
10,474,9.350257873535156,0.0029948437586426735,251.85198974609375,0.0666758269071579
10,475,9.370257377624512,0.0025948436930775644,167.85198974609375,0.0666758269071579
10,476,9.390257835388184,0.00219484381377697,83.85198211669922,0.0666758269071579
10,477,9.410257339477539,0.0017948437482118607,-0.14801619946956635,0.0666758269071579
10,478,9.430257797241211,0.001394843775779009,-84.14801788330078,0.0666758269071579
10,479,9.450258255004883,0.0009948437102138997,-168.14801025390625,0.0666758269071579
