cycle,time,target_time,time_error,integration_point_values_averaged,STATEV1_end,STATEV2_end,STATEV3_end,STATEV4_end,STATEV5_end,STATEV6_end,STATEV7_end,STATEV8_end,STATEV9_end,STATEV10_end,STATEV11_end,STATEV12_end,STATEV13_end,STATEV14_end,STATEV15_end,Delta_STATEV1,Delta_STATEV2,Delta_STATEV3,Delta_STATEV4,Delta_STATEV5,Delta_STATEV6,Delta_STATEV7,Delta_STATEV8,Delta_STATEV9,Delta_STATEV10,Delta_STATEV11,Delta_STATEV12,Delta_STATEV13,Delta_STATEV14,Delta_STATEV15
11,11.0017814636,11,0.00178146362305,8,0.0782800912857,-87.9047241211,43.9523620605,43.9523620605,7.74887425515e-16,2.60158083893e-15,-1.77585120374e-15,-0.00181494886056,0.000907474430278,0.000907474430278,6.5762388659e-20,1.34377531299e-19,-3.27186493002e-20,0.781270980835,0,0.00726040452719,0.00490570068359,-0.0024528503418,-0.0024528503418,2.92030320365e-15,1.47316190547e-15,3.62685842991e-16,3.0396040529e-07,-1.51980202645e-07,-1.51980202645e-07,2.32602964087e-20,2.3470487627e-20,2.00831859468e-21,0.072333574295,0
12,12.0017814636,12,0.00178146362305,8,0.0855392813683,-87.8998184204,43.9499092102,43.9499092102,6.91890526638e-16,1.23885483766e-15,-1.9161609012e-15,-0.00181464501657,0.000907322508283,0.000907322508283,2.17507832734e-20,9.75296372752e-20,-4.1545668504e-20,0.853566169739,0,0.00725919008255,0.00490570068359,-0.0024528503418,-0.0024528503418,-8.29968988767e-17,-1.36272600127e-15,-1.40309697459e-16,3.03843989968e-07,-1.51921994984e-07,-1.51921994984e-07,-4.40116053855e-20,-3.68478940235e-20,-8.82701920386e-21,0.0722951889038,0
13,13.0017814636,13,0.00178146362305,8,0.0927972495556,-87.8949203491,43.9474601746,43.9474601746,-1.10955282304e-15,2.36410485543e-15,-1.7749805763e-15,-0.00181434128899,0.000907170644496,0.000907170644496,-4.2683211079e-20,1.03933536292e-19,-3.77338649431e-20,0.925823032856,0,0.00725796818733,0.00489807128906,-0.00244903564453,-0.00244903564453,-1.80144334968e-15,1.12525001777e-15,1.41180324906e-16,3.03727574646e-07,-1.51863787323e-07,-1.51863787323e-07,-6.44339943525e-20,6.40389901645e-21,3.81180356096e-21,0.0722568631172,0
14,14.0017814636,14,0.00178146362305,8,0.100054010749,-87.8900146484,43.9450073242,43.9450073242,1.71734162536e-15,2.90158026827e-15,-1.51251338861e-15,-0.00181403791066,0.000907018955331,0.000907018955331,-2.27980145277e-20,1.47103116646e-19,-2.86553886895e-20,0.998041570187,0,0.00725676119328,0.00490570068359,-0.0024528503418,-0.0024528503418,2.8268944484e-15,5.37475412848e-16,2.6246718769e-16,3.03378328681e-07,-1.5168916434e-07,-1.5168916434e-07,1.98851965514e-20,4.31695803545e-20,9.07847625357e-21,0.0722185373306,0
15,15.0017814636,15,0.00178146362305,8,0.107309557498,-87.8851165771,43.9425582886,43.9425582886,-2.34009633519e-15,1.59652986534e-15,-2.12610411102e-15,-0.00181373464875,0.000906867324375,0.000906867324375,-7.23373678516e-20,1.50321039868e-19,-1.9420196445e-20,1.07022190094,0,0.00725554674864,0.00489807128906,-0.00244903564453,-0.00244903564453,-4.05743796056e-15,-1.30505040293e-15,-6.13590722412e-16,3.03261913359e-07,-1.5163095668e-07,-1.5163095668e-07,-4.95393533239e-20,3.21792322211e-21,9.23519224453e-21,0.0721803307533,0
16,16.0017814636,16,0.00178146362305,8,0.114563889802,-87.8802108765,43.9401054382,43.9401054382,-2.43839356243e-15,2.74585800563e-15,-2.09455610503e-15,-0.00181343150325,0.000906715751626,0.000906715751626,-8.74320335115e-20,1.6949708818e-19,-2.66711015495e-20,1.14236390591,0,0.007254332304,0.00490570068359,-0.0024528503418,-0.0024528503418,-9.82972272342e-17,1.14932814028e-15,3.15480059911e-17,3.03145498037e-07,-1.51572749019e-07,-1.51572749019e-07,-1.50946656599e-20,1.91760483114e-20,-7.25090510457e-21,0.0721420049667,0
17,17.0017814636,17,0.00178146362305,8,0.121817007661,-87.8753051758,43.9376525879,43.9376525879,1.39369157368e-15,1.8269251034e-15,-1.71461369951e-15,-0.00181312859058,0.000906564295292,0.000906564295292,-1.71192043455e-20,1.49983771514e-19,-1.87792346659e-20,1.2144677639,0,0.00725311785936,0.00490570068359,-0.0024528503418,-0.0024528503418,3.83208513611e-15,-9.18932902231e-16,3.7994240552e-16,3.02912667394e-07,-1.51456333697e-07,-1.51456333697e-07,7.0312829166e-20,-1.95133166659e-20,7.89186688367e-21,0.0721038579941,0
18,18.0017814636,18,0.00178146362305,8,0.129068911076,-87.8703994751,43.9351997375,43.9351997375,1.93246159698e-16,2.47636473258e-15,-2.01265228066e-15,-0.00181282591075,0.000906412955374,0.000906412955374,-4.0279197027e-20,1.3788832543e-19,-3.02511703407e-20,1.28653347492,0,0.00725190341473,0.00490570068359,-0.0024528503418,-0.0024528503418,-1.20044541398e-15,6.49439629183e-16,-2.98038581155e-16,3.0267983675e-07,-1.51339918375e-07,-1.51339918375e-07,-2.31599926815e-20,-1.20954460837e-20,-1.14719356748e-20,0.0720657110214,0
19,19.0017814636,19,0.00178146362305,8,0.136319622397,-87.8654937744,43.9327468872,43.9327468872,-1.14830937141e-15,3.11388053669e-15,-2.09579074488e-15,-0.00181252334733,0.000906261673663,0.000906261673663,-1.0929124328e-19,1.77008119171e-19,-3.46887907631e-20,1.35856091976,0,0.00725071132183,0.00490570068359,-0.0024528503418,-0.0024528503418,-1.34155553111e-15,6.37515804109e-16,-8.31384642211e-17,3.02563421428e-07,-1.51281710714e-07,-1.51281710714e-07,-6.90120462533e-20,3.91197937405e-20,-4.43762042237e-21,0.0720274448395,0
20,20,20,0,8,0.143569096923,-87.8605880737,43.9302940369,43.9302940369,-1.66849550342e-15,2.36729579397e-15,-2.15602447206e-15,-0.00181222101673,0.000906110508367,0.000906110508367,-2.54089581093e-19,1.36292704934e-19,-5.51906126147e-20,1.43055033684,0,0.00724947452545,0.00490570068359,-0.0024528503418,-0.0024528503418,-5.20186132016e-16,-7.46584742716e-16,-6.02337271804e-17,3.02330590785e-07,-1.51165295392e-07,-1.51165295392e-07,-1.44798337812e-19,-4.07154142369e-20,-2.05018218516e-20,0.0719894170761,0
