case_name,base_cycle,target_cycle,jump_size,method,strain_range_reference,predicted_strain_mean,reference_strain_mean,strain_mean_normalized_error_percent,predicted_ratcheting_strain,reference_ratcheting_strain,ratcheting_strain_normalized_error_percent,predicted_strain_max,reference_strain_max,strain_max_normalized_error_percent,max_normalized_error_percent,drift_direction_ok,finite,accepted,requested_target_cycle,adaptive_candidate
B1_stress_m150_to_250,1000,1250,250,least_squares_local_linear,0.0032863758455457,0.06418264802704221,0.0641824351875543,0.0064764195549226935,0.050212689616827656,0.0502124767773399,0.006476419550277586,0.06582583082785166,0.0658256231103272,0.006320565091181544,0.0064764195549226935,True,True,True,5000,True
B1_stress_m150_to_250,1000,1125,125,least_squares_local_linear,0.0032863765320656,0.05952724687786116,0.0595271918374047,0.001674806764209687,0.04555728846764663,0.0455572334271903,0.001674806760409146,0.06117043272289923,0.0611703801034376,0.0016011391608598939,0.001674806764209687,True,True,True,5000,True
B1_stress_m150_to_250,1000,1062,62,least_squares_local_linear,0.0032863766456167,0.0571809246986739,0.0571809110412644,0.00041557651382441777,0.04321096628845939,0.04321095263105,0.0004155765106573003,0.058824112078003206,0.0588240993640728,0.0003868677202726472,0.00041557651382441777,True,True,True,5000,True
B1_stress_m150_to_250,1000,1031,31,least_squares_local_linear,0.0032863773218613,0.056026385213677,0.0560264047276341,0.0005937832206049578,0.0420564268034625,0.0420564463174197,0.0005937832235609335,0.057669573347975,0.0576695933885647,0.0006098079355741617,0.0006098079355741617,True,True,True,5000,True
B1_stress_m150_to_250,1000,1015,15,least_squares_local_linear,0.0032863786029571,0.055430493866581824,0.0554305097341037,0.0004828269590894913,0.041460535456367326,0.0414605513238893,0.0004828269622566069,0.057073682390541086,0.0570736990355823,0.0005064858077649996,0.0005064858077649996,True,True,True,5000,True
B1_stress_m150_to_250,1000,1007,7,least_squares_local_linear,0.0032863784954748,0.05513254819303424,0.055132552304402,0.00012510329427332142,0.04116258978281974,0.0411625938941876,0.0001251032974404371,0.05677573691182413,0.0567757415521394,0.00014119844312851342,0.00014119844312851342,True,True,True,5000,True
B1_stress_m150_to_250,1000,1003,3,least_squares_local_linear,0.0032863783737497,0.05498357535626044,0.0549835753219481,1.0440775160714162e-06,0.041013616946045946,0.0410136169117336,1.0440777272124692e-06,0.056626764172465656,0.0566267645088229,1.023489088651047e-05,1.023489088651047e-05,True,True,True,5000,True
B1_stress_m150_to_250,1000,1001,1,least_squares_local_linear,0.003286377731265,0.054909088937873544,0.0549090884628802,1.4453400738150189e-05,0.04093913052765905,0.0409391300526658,1.4453397993315964e-05,0.05655227780278642,0.0565522773285127,1.4431503506403695e-05,1.4453400738150189e-05,True,True,True,5000,True
B1_stress_m150_to_250,1000,5000,4000,power_law_fit,0.0032863719411082,0.15720721048262587,0.2038270221291175,1418.579895456718,0.1743831684945134,0.1898570637189031,470.85039373759156,0.15668103867717692,0.2054702080996716,1484.590615328904,1484.590615328904,True,True,False,5000,False
B1_stress_m150_to_250,1000,3000,2000,power_law_fit,0.0032863740440782,0.11255337156954305,0.1293537761746828,511.21401215460605,0.1100541805003655,0.1153838177644684,162.17378766444773,0.11335282642899037,0.130996963196722,536.8876619362617,536.8876619362617,True,True,False,5000,True
